#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,engagement_count,engagement_rate,download_rate
1,claim,7017666017,59,someone shared with me that drone deliveries are already happening and will become common by 2025,not verified,under review,343296.0,19425.0,241.0,1.0,0.0,19666.0,0.05728584079045489,2.912938105891126e-06
2,claim,4014381136,32,someone shared with me that there are more microorganisms in one teaspoon of soil than people on the planet,not verified,active,140877.0,77355.0,19034.0,1161.0,684.0,97073.0,0.6890620896242822,0.008241231712770716
3,claim,9859838091,31,"someone shared with me that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",not verified,active,902185.0,97690.0,2858.0,833.0,329.0,100877.0,0.11181409577858199,0.0009233139544550176
4,claim,1866847991,25,"someone shared with me that the metro of st. petersburg, with an average depth of hundred meters, is the deepest metro in the world",not verified,active,437506.0,239954.0,34812.0,1234.0,584.0,275350.0,0.6293627973102083,0.00282053274697947
5,claim,7105231098,19,someone shared with me that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,not verified,active,56167.0,34987.0,4110.0,547.0,152.0,39249.0,0.6987911050972991,0.009738814606441505
6,claim,8972200955,35,someone shared with me that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,under review,336647.0,175546.0,62303.0,4293.0,1857.0,239706.0,0.7120396141952847,0.012752230080767094
7,claim,4958886992,16,someone shared with me that elvis presley has sold more records than the music band the beatles,not verified,active,750345.0,486192.0,193911.0,8616.0,5446.0,685549.0,0.913645056607294,0.011482717949743117
8,claim,2270982263,41,"someone shared with me that the best selling single of all time is ""white christmas"" by bing crosby",not verified,active,547532.0,1072.0,50.0,22.0,11.0,1133.0,0.002069285448156455,4.0180299964203004e-05
9,claim,5235769692,50,someone shared with me that about half of the world's population can access the web via a mobile device,not verified,active,24819.0,10160.0,1050.0,53.0,27.0,11237.0,0.452757967686047,0.002135460735726661
10,claim,4660861094,45,someone shared with me that it would take a 50 petabyte drive to store every written work ever created,verified,active,931587.0,171051.0,67739.0,4104.0,2540.0,241330.0,0.2590525629919696,0.004405385648361345
11,claim,8095102436,47,someone shared with me that an average user spends 40% of their day on the internet,not verified,active,695641.0,238030.0,23062.0,1719.0,378.0,261470.0,0.375869162398421,0.00247110219207896
12,claim,4507218541,30,someone shared with me that the world generates 2.5 quintillion bytes of data every day,not verified,active,482046.0,168107.0,19474.0,3282.0,532.0,188113.0,0.3902386909133153,0.006808478858864092
