User_ID,App,Daily_Minutes_Spent,Posts_Per_Day,Likes_Per_Day,Follows_Per_Day
U_4,TikTok,21,20,117,8
U_9,TikTok,80,7,14,25
U_10,Snapchat,428,6,4,41
U_11,Snapchat,52,18,124,26
U_17,Snapchat,32,2,81,8
U_18,Snapchat,104,19,3,49
U_20,Snapchat,347,16,187,21
U_28,TikTok,77,2,192,13
U_30,TikTok,199,5,186,40
U_31,TikTok,321,4,136,18
U_33,TikTok,396,10,37,36
U_35,Snapchat,63,0,86,44
U_37,TikTok,252,3,6,39
U_54,Snapchat,485,13,40,24
U_55,Snapchat,402,14,41,40
U_60,TikTok,39,14,80,32
U_65,Snapchat,28,9,53,15
U_68,TikTok,21,6,38,43
U_69,TikTok,474,8,112,7
U_73,Snapchat,361,18,190,48
U_75,Snapchat,149,4,153,15
U_76,Snapchat,250,11,200,13
U_78,TikTok,153,7,107,4
U_88,Snapchat,156,18,3,14
U_91,Snapchat,31,8,143,21
U_93,TikTok,189,19,111,25
U_94,Snapchat,106,20,144,42
U_98,Snapchat,9,14,117,48
U_105,TikTok,148,1,124,13
U_109,Snapchat,391,0,117,17
U_110,Snapchat,441,14,178,4
U_113,TikTok,419,6,94,35
U_117,Snapchat,280,9,154,8
U_120,Snapchat,41,1,101,30
U_121,Snapchat,319,20,5,45
U_124,TikTok,40,17,152,44
U_135,Snapchat,218,17,157,33
U_140,TikTok,297,18,123,7
U_141,Snapchat,253,18,50,43
U_146,Snapchat,288,15,152,0
U_147,Snapchat,447,2,171,25
U_149,Snapchat,78,17,194,19
U_155,TikTok,246,14,81,41
U_169,TikTok,145,10,155,47
U_170,Snapchat,377,1,130,18
U_172,TikTok,477,19,101,6
U_176,Snapchat,268,15,91,28
U_180,TikTok,219,13,106,39
U_182,TikTok,107,18,50,20
U_184,TikTok,25,8,48,37
U_185,TikTok,193,4,20,47
U_186,TikTok,413,0,140,46
U_187,TikTok,425,15,129,20
U_188,Snapchat,89,1,5,14
U_190,TikTok,175,4,147,12
U_196,TikTok,459,13,165,14
U_205,TikTok,231,14,50,42
U_210,TikTok,250,1,100,50
U_211,Snapchat,169,20,14,8
